name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost2plates,type
Ovenstory Pizza,Yes,No,good,172,Banashankari,Delivery,Pizza,750,Delivery
Faasos,Yes,No,insane,415,Banashankari,Quick Bites,others,500,Delivery
Behrouz Biryani,Yes,No,good,230,Banashankari,Delivery,Biryani,650,Delivery
Fast And Fresh,Yes,No,bad,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,Delivery
Szechuan Dragon,Yes,No,insane,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,Delivery
Empire Restaurant,Yes,No,insane,4884,Jayanagar,Casual Dining,others,750,Delivery
Maruthi Davangere Benne Dosa,Yes,No,insane,17,Banashankari,Quick Bites,South Indian,150,Delivery
Chaatimes,Yes,No,good,133,Basavanagudi,Quick Bites,others,200,Delivery
Havyaka Mess,No,No,good,28,Banashankari,others,South Indian,300,Delivery
McDonald's,Yes,No,good,286,Banashankari,Quick Bites,"Burger, Fast Food",500,Delivery
Domino's Pizza,Yes,No,good,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,Delivery
Onesta,Yes,Yes,insane,2556,Banashankari,others,others,600,Delivery
Hotboxit,No,No,good,36,Banashankari,Delivery,others,400,Delivery
Kitchen Garden,Yes,No,good,244,others,Quick Bites,"North Indian, Chinese",300,Delivery
Recipe,Yes,No,insane,804,others,Casual Dining,others,450,Delivery
Beijing Bites,Yes,No,good,679,others,Casual Dining,"Chinese, Thai",850,Delivery
Tasty Bytes,Yes,No,bad,245,others,Quick Bites,others,300,Delivery
Petoo,No,No,good,21,Banashankari,Quick Bites,North Indian,450,Delivery
Shree Cool Point,Yes,No,insane,28,others,Quick Bites,others,150,Delivery
Corner House Ice Cream,No,No,insane,345,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,Delivery
Biryanis And More,Yes,No,insane,618,Jayanagar,Casual Dining,others,750,Delivery
Roving Feast,No,No,insane,1047,Banashankari,Quick Bites,others,450,Delivery
FreshMenu,Yes,No,good,627,Banashankari,Delivery,others,450,Delivery
Banashankari Donne Biriyani,Yes,No,good,104,Banashankari,Quick Bites,"Biryani, Fast Food",300,Delivery
Wamama,Yes,Yes,insane,354,Banashankari,Casual Dining,others,800,Delivery
Five Star Chicken,No,No,good,55,Banashankari,Quick Bites,"Fast Food, Burger",200,Delivery
XO Belgian Waffle,Yes,No,good,17,Banashankari,Dessert Parlor,"Desserts, Beverages",400,Delivery
Peppy Peppers,No,No,insane,244,Banashankari,Casual Dining,others,800,Delivery
Goa 0 Km,Yes,Yes,good,163,others,Casual Dining,others,800,Delivery
Chinese Kitchen,Yes,No,good,58,Basavanagudi,Quick Bites,Chinese,150,Delivery
1947,No,Yes,insane,808,Banashankari,Casual Dining,"North Indian, Chinese",850,Delivery
Cake of the Day,No,No,good,78,Banashankari,others,Bakery,150,Delivery
Kabab Magic,Yes,No,insane,1720,Basavanagudi,Quick Bites,others,400,Delivery
Namma Brahmin's Idli,Yes,No,good,34,Jayanagar,Quick Bites,South Indian,100,Delivery
Gustoes Beer House,No,No,insane,868,Banashankari,others,others,1200,Delivery
Sugar Rush,No,No,good,39,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Burger King,Yes,No,bad,71,Basavanagudi,Quick Bites,others,600,Delivery
The Good Bowl,Yes,No,good,6,Banashankari,"Takeaway, Delivery",others,500,Delivery
The Biryani Cafe,No,No,insane,520,Banashankari,Quick Bites,others,300,Delivery
Spicy Tandoor,No,No,good,0,Banashankari,Quick Bites,North Indian,150,Delivery
LSD Cafe,No,No,bad,84,Banashankari,Delivery,others,700,Delivery
Rolls On Wheels,No,No,good,299,Banashankari,Quick Bites,others,300,Delivery
Om Sri Vinayaka Chats,No,No,good,0,Banashankari,"Takeaway, Delivery",others,500,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,insane,558,Basavanagudi,Quick Bites,South Indian,150,Delivery
Devanna Dum Biriyani Centre,Yes,No,good,28,Banashankari,Quick Bites,"Biryani, South Indian",300,Delivery
Kolbeh,No,No,good,22,Banashankari,Quick Bites,Fast Food,500,Delivery
Upahar Sagar,No,No,good,39,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery
Kadalu Sea Food Restaurant,Yes,No,good,153,others,others,others,500,Delivery
Frozen Bottle,Yes,No,insane,146,Banashankari,others,others,400,Delivery
Parimala Sweets,No,No,bad,14,Banashankari,others,"Mithai, Street Food",200,Delivery
Vaishali Deluxe,No,No,good,42,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
Chill Out,No,No,good,0,Banashankari,Quick Bites,"South Indian, Chinese",100,Delivery
The Big O Bakes,No,No,insane,66,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Meghana Foods,Yes,No,insane,4401,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery
Krishna Sagar,No,No,bad,31,Banashankari,Quick Bites,North Indian,200,Delivery
Dessert Rose,No,No,bad,7,Banashankari,Dessert Parlor,Desserts,500,Delivery
Chickpet Donne Biryani House,No,No,good,21,Banashankari,Quick Bites,Biryani,250,Delivery
Me And My Cake,No,No,good,0,Banashankari,Delivery,"Bakery, Desserts",500,Delivery
Sunsadm,No,No,good,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery
Annapooraneshwari Mess,No,No,good,0,Banashankari,others,South Indian,200,Delivery
Thanco's Natural Ice Creams,No,No,bad,9,Banashankari,Dessert Parlor,Ice Cream,300,Delivery
Nandhini Deluxe,No,No,bad,283,Banashankari,Casual Dining,North Indian,600,Delivery
Vi Ra's Bar and Restaurant,No,No,bad,62,Banashankari,others,"South Indian, North Indian, Chinese",800,Delivery
Kaggis,No,No,good,64,Banashankari,Quick Bites,others,250,Delivery
Ayda Persian Kitchen,No,No,good,39,Banashankari,Casual Dining,others,950,Delivery
Chatar Patar,No,No,good,65,Banashankari,Quick Bites,others,300,Delivery
Polar Bear,Yes,No,good,71,Basavanagudi,Dessert Parlor,others,400,Delivery
Kidambi's Kitchen,No,No,bad,52,Banashankari,Quick Bites,South Indian,300,Delivery
Mane Thindi,No,No,good,130,Banashankari,Quick Bites,South Indian,200,Delivery
Kotian Karavali Restaurant,No,No,bad,10,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery
Floured-Baked With Love,No,No,good,45,Banashankari,"Takeaway, Delivery",Bakery,400,Delivery
CAFE NOVA,No,No,bad,11,Banashankari,Cafe,"Cafe, Bakery",600,Delivery
Cakes & Slices,No,No,bad,13,Banashankari,Bakery,"Bakery, Desserts",300,Delivery
Spice 9,No,No,bad,8,Banashankari,Quick Bites,others,300,Delivery
Coffee Shopee,No,No,good,0,Banashankari,"Takeaway, Delivery",Beverages,250,Delivery
Naveen Kabab & Biriyani Mane,No,No,bad,9,Banashankari,Quick Bites,Biryani,300,Delivery
Katriguppe Donne Biryani,No,No,bad,4,Banashankari,Quick Bites,North Indian,300,Delivery
Hari Super Sandwich,No,No,good,0,Banashankari,"Takeaway, Delivery",others,200,Delivery
Atithi Point Ande Ka Funda,No,No,bad,29,Banashankari,Quick Bites,North Indian,150,Delivery
Just Bake,No,No,bad,8,Banashankari,Bakery,"Bakery, Desserts",400,Delivery
Dharwad Line Bazaar Mishra Pedha,No,No,good,0,Banashankari,Dessert Parlor,Mithai,150,Delivery
Cake Bite,No,No,good,0,Banashankari,Bakery,Bakery,300,Delivery
Aarush's Food Plaza,No,No,good,0,Banashankari,Quick Bites,"North Indian, Street Food",200,Delivery
Wood Stove,No,No,good,0,Banashankari,"Takeaway, Delivery",South Indian,150,Delivery
Kulfi & More,No,No,good,0,Banashankari,Dessert Parlor,others,150,Delivery
Kannadigas Karavali,No,No,good,0,Banashankari,Quick Bites,others,250,Delivery
K27 - The Pub,No,No,bad,30,Banashankari,others,"Chinese, North Indian",1000,Delivery
Bengaluru Coffee House,Yes,No,insane,201,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
New Mangalore Lunch Home,No,No,bad,7,Banashankari,Quick Bites,others,200,Delivery
Coffee Bytes,No,No,bad,6,Banashankari,Quick Bites,others,100,Delivery
Parjanya Chat Zone,No,No,bad,17,Banashankari,Quick Bites,others,200,Delivery
Kwality Wall's Swirl's Happiness Station,No,No,bad,25,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,Delivery
Soms Kitchen & Bakes,No,No,good,0,Banashankari,Delivery,others,400,Delivery
Banashankari Nati Style,No,No,good,0,Banashankari,Quick Bites,others,350,Delivery
Ruchi Maayaka,No,No,bad,8,Banashankari,Delivery,South Indian,100,Delivery
Mohitesh Hut Roll,No,No,good,0,Banashankari,Quick Bites,others,150,Delivery
Sri Basaveshwar Jolada Rotti Oota,No,No,good,0,Banashankari,Quick Bites,South Indian,150,Delivery
Roll Magic Fast Food,No,No,good,0,Banashankari,"Takeaway, Delivery",others,200,Delivery
Foodlieious Multi Cuisine,No,No,good,0,Banashankari,Quick Bites,North Indian,100,Delivery
Thanishka Nati And Karavali Style,No,No,good,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,Delivery
Swathi Cool Point,No,No,good,0,Banashankari,others,others,200,Delivery
Kaumudis Juoice,No,No,good,0,Banashankari,others,others,150,Delivery
Amma - Manae,No,No,good,0,Banashankari,"Takeaway, Delivery",South Indian,400,Delivery
Sri Sai Tiffannies,No,No,good,0,Banashankari,Quick Bites,"South Indian, Chinese",150,Delivery
Hotel Andhra Speices,No,No,good,0,Banashankari,Quick Bites,Andhra,250,Delivery
Sri Murari Family Restaurant,No,No,good,0,Banashankari,Quick Bites,Biryani,250,Delivery
Aramane Donne Biriyani,No,No,good,0,Banashankari,Quick Bites,"South Indian, Biryani",150,Delivery
Darkolates,No,No,good,0,Banashankari,others,Desserts,200,Delivery
Swaada Healthy Kitchen,No,No,good,0,Banashankari,others,others,350,Delivery
Gawdaru Mane Beriyani,No,No,good,0,Banashankari,Quick Bites,"South Indian, Biryani",300,Delivery
Melting Melodies,No,No,good,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,Delivery
New Indraprasta,No,No,good,0,Banashankari,Quick Bites,others,150,Delivery
Anna Kuteera,Yes,No,insane,771,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery
Darbar,No,No,bad,98,Banashankari,others,"North Indian, Chinese",800,Delivery
Vijayalakshmi,Yes,No,good,47,Basavanagudi,Quick Bites,South Indian,200,Delivery
Sri Udupi Food Hub,Yes,Yes,insane,175,Jayanagar,Casual Dining,others,500,Delivery
Udupi Upahar,Yes,No,good,58,Banashankari,Quick Bites,others,300,Delivery
House Of Kebabs,Yes,No,good,540,Basavanagudi,Casual Dining,others,650,Delivery
Roll N Rock,Yes,No,good,124,others,Quick Bites,others,400,Delivery
BOX8- Desi Meals,Yes,No,insane,340,Banashankari,"Takeaway, Delivery",others,500,Delivery
KFC,Yes,No,good,505,Banashankari,Quick Bites,"Burger, Fast Food",450,Delivery
Bitez,No,No,good,0,Banashankari,Quick Bites,Fast Food,100,Delivery
Roll Over,Yes,No,insane,438,Jayanagar,Dessert Parlor,others,500,Delivery
Imperial Restaurant,Yes,No,good,264,others,Casual Dining,others,750,Delivery
Lassi Shop,Yes,No,good,169,others,others,others,150,Delivery
The Fortuna,Yes,No,bad,67,others,Quick Bites,"North Indian, Chinese",250,Delivery
Wahab,Yes,No,good,97,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery
Al Diwan Biryanis And More,Yes,No,bad,12,Basavanagudi,"Takeaway, Delivery",Biryani,300,Delivery
New Gowda's Fried Chicken,Yes,No,bad,12,Banashankari,Quick Bites,Biryani,300,Delivery
Canton,Yes,No,good,195,Jayanagar,Casual Dining,others,800,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,bad,13,Basavanagudi,others,others,300,Delivery
The Blue Wagon - Kitchen,Yes,No,insane,228,Jayanagar,Cafe,others,400,Delivery
HOT COFFEE,Yes,No,insane,70,Basavanagudi,Quick Bites,"South Indian, Chinese",150,Delivery
Patio 805,Yes,Yes,insane,364,Jayanagar,Casual Dining,others,1200,Delivery
Lassi Corner,Yes,No,good,107,Basavanagudi,others,others,150,Delivery
Sagar Deluxe,Yes,No,bad,167,others,Quick Bites,others,300,Delivery
Kanti Sweets,Yes,No,insane,115,Banashankari,others,"Mithai, Street Food",400,Delivery
Vegetalia,Yes,No,good,27,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,Delivery
Aramane Donne Biryani,Yes,No,bad,57,Banashankari,Quick Bites,Biryani,200,Delivery
Ande Ka Funda,Yes,No,good,120,Banashankari,Quick Bites,others,250,Delivery
Cake Ghar,Yes,No,good,15,Basavanagudi,Bakery,Bakery,400,Delivery
Energy Addaa,Yes,No,insane,64,Basavanagudi,Quick Bites,others,500,Delivery
Bhattara Bhojana,Yes,No,good,66,Banashankari,Quick Bites,South Indian,150,Delivery
Tandoori Knight,Yes,No,bad,290,Banashankari,Quick Bites,others,450,Delivery
Dev Sagar - Food Street,Yes,No,insane,233,Basavanagudi,Quick Bites,Street Food,200,Delivery
Mitraa Da Pizza,Yes,No,good,115,others,Quick Bites,others,250,Delivery
Paradise Premium,Yes,No,bad,119,Banashankari,Casual Dining,others,700,Delivery
Grazers,Yes,Yes,good,291,Jayanagar,Cafe,others,650,Delivery
Shakes Theory,Yes,No,insane,155,Jayanagar,others,others,300,Delivery
@Italy,Yes,No,insane,305,others,Casual Dining,others,700,Delivery
Chilli Flakes,Yes,No,good,46,Banashankari,Quick Bites,others,500,Delivery
Calcutta Cafe,Yes,No,bad,45,others,Quick Bites,others,350,Delivery
Old Mumbai Ice Cream,Yes,No,good,38,Banashankari,Dessert Parlor,Ice Cream,150,Delivery
Donne Biriyani House,Yes,No,good,441,Banashankari,Quick Bites,others,400,Delivery
By 2 Coffee,Yes,No,good,25,Basavanagudi,Quick Bites,South Indian,100,Delivery
Kedia's Fun Food,Yes,No,insane,630,Jayanagar,Quick Bites,others,200,Delivery
Davangere Butter Dosa Hotel,Yes,No,good,25,others,Quick Bites,South Indian,150,Delivery
Just Shawarma,Yes,No,good,160,others,Quick Bites,Arabian,300,Delivery
Mini Punjabi Dhaba,Yes,No,insane,287,Banashankari,Quick Bites,North Indian,350,Delivery
Mulabagilu Dosa,Yes,No,good,11,Basavanagudi,Quick Bites,South Indian,100,Delivery
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,insane,402,Banashankari,Cafe,Cafe,500,Delivery
Gokul Veg,Yes,No,good,469,Basavanagudi,Casual Dining,others,750,Delivery
Olive - Era,Yes,No,bad,511,others,Casual Dining,others,550,Delivery
Udupi Ruchi,Yes,No,good,57,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery
Madhappa Hindu Military Hotel,Yes,No,bad,14,Banashankari,Quick Bites,South Indian,300,Delivery
Gama Gama,Yes,No,good,264,Banashankari,Quick Bites,South Indian,200,Delivery
The Vintage Cafe,Yes,No,bad,62,Banashankari,Cafe,others,400,Delivery
Pizza Hut,Yes,No,good,693,Banashankari,Casual Dining,"Pizza, Fast Food",750,Delivery
Mangalore Pearl,Yes,No,good,242,Jayanagar,Casual Dining,others,650,Delivery
Asha Sweets Centre,Yes,No,good,27,Basavanagudi,Dessert Parlor,Fast Food,250,Delivery
Twiststick House,Yes,No,insane,163,Basavanagudi,Quick Bites,others,500,Delivery
Cool Corner,Yes,No,insane,191,Basavanagudi,Quick Bites,others,250,Delivery
Pizza Mane,Yes,No,bad,32,Banashankari,Quick Bites,others,150,Delivery
Dal Tadkaa,Yes,No,bad,247,Banashankari,Casual Dining,North Indian,500,Delivery
Chutney Chang,Yes,Yes,insane,2339,Jayanagar,Casual Dining,others,1500,Delivery
Mystique Palate,Yes,No,insane,337,Jayanagar,Quick Bites,others,300,Delivery
Thamboola,Yes,No,good,135,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,Delivery
Castle Rock,Yes,No,good,172,others,Casual Dining,"North Indian, Chinese",700,Delivery
Vietnamese Kitchen,Yes,No,good,105,Banashankari,Casual Dining,others,700,Delivery
Smacznego,Yes,No,insane,504,Banashankari,Cafe,others,550,Delivery
C Corner,Yes,No,bad,36,others,Quick Bites,others,200,Delivery
Paratha Merchant,Yes,No,bad,39,others,Quick Bites,North Indian,300,Delivery
North Rasoe,Yes,No,bad,5,others,Casual Dining,others,500,Delivery
Inchara Restaurant,Yes,No,good,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,Delivery
Toscano,Yes,Yes,insane,1129,Jayanagar,Casual Dining,others,1300,Delivery
Lord Of The Kitchen,Yes,No,good,56,others,Quick Bites,"North Indian, Chinese",350,Delivery
Stoned Monkey,Yes,No,insane,860,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,Delivery
Central Jail Restaurant,Yes,No,good,412,Jayanagar,Casual Dining,others,700,Delivery
Bella,Yes,Yes,good,142,Jayanagar,Casual Dining,others,1000,Delivery
Vennela Andhra Meals,Yes,No,bad,23,Jayanagar,Quick Bites,Andhra,400,Delivery
New Prashanth Hotel,Yes,No,good,143,Jayanagar,Casual Dining,others,750,Delivery
The Grillo,Yes,Yes,bad,80,Jayanagar,Casual Dining,others,500,Delivery
Re Malnad Nati Style Hotel,Yes,No,good,16,JP Nagar,Casual Dining,South Indian,400,Delivery
Karma Kaapi,Yes,No,insane,181,Jayanagar,others,others,250,Delivery
Tiwari's,Yes,No,good,70,Jayanagar,Quick Bites,"North Indian, Street Food",200,Delivery
Pizza Stop,Yes,No,good,164,Basavanagudi,Quick Bites,others,600,Delivery
Biggies Burger 'n' More,Yes,No,good,58,others,Quick Bites,others,650,Delivery
Srinathji's Cafe,No,No,good,148,Basavanagudi,others,others,550,Delivery
Kollapuri's,No,No,good,206,Basavanagudi,Quick Bites,others,450,Delivery
Sugar Stars Co,No,No,good,0,Basavanagudi,Bakery,"Bakery, Desserts",300,Delivery
Bombay Kulfis,No,No,good,0,JP Nagar,Dessert Parlor,Ice Cream,200,Delivery
Kadamba Classic,No,No,good,16,others,Quick Bites,South Indian,300,Delivery
RS Shiv Sagar,No,No,good,217,Basavanagudi,Casual Dining,others,450,Delivery
Kholi Mane,No,No,good,46,Basavanagudi,Quick Bites,others,450,Delivery
Harshi Super Sandwich,No,No,good,148,Basavanagudi,Quick Bites,others,150,Delivery
Cake Yard,No,No,bad,30,Basavanagudi,Dessert Parlor,Desserts,250,Delivery
Rosewood International Hotel - Bar & Restaurant,No,No,good,8,others,Casual Dining,others,800,Delivery
Sri Udupi Veg,No,No,bad,4,Jayanagar,Quick Bites,South Indian,250,Delivery
Cake Art,No,No,bad,15,Basavanagudi,others,Bakery,400,Delivery
Aahar Cafe,No,No,good,0,Basavanagudi,Quick Bites,South Indian,100,Delivery
Akash Gowdru Biryani Center,No,No,good,0,others,Quick Bites,"North Indian, Chinese",300,Delivery
New Sri Udupi Restaurant,No,No,good,0,Jayanagar,Quick Bites,others,200,Delivery
Potato House,Yes,No,bad,9,others,Quick Bites,Street Food,200,Delivery
Hotel Biriyani Counter,No,No,good,0,others,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery
Matru Sagar,Yes,No,good,31,others,Quick Bites,"South Indian, North Indian",300,Delivery
Ugadi,Yes,No,bad,177,Jayanagar,Casual Dining,others,700,Delivery
Sri Krishna Sweets,Yes,No,good,22,Basavanagudi,others,others,250,Delivery
In Time Cane Juice,Yes,No,bad,10,others,others,others,100,Delivery
Subway,Yes,No,good,136,Banashankari,Quick Bites,others,600,Delivery
Daal Roti,Yes,No,bad,35,others,Quick Bites,"North Indian, Chinese",250,Delivery
The Lassi Park,Yes,No,insane,185,Jayanagar,Quick Bites,others,200,Delivery
Cafe Coffee Day,Yes,No,bad,17,Jayanagar,Cafe,"Cafe, Fast Food",900,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,good,155,others,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery
Srikrishna Bhavan,Yes,No,good,42,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Timepass Dinner,Yes,No,good,286,Basavanagudi,Casual Dining,North Indian,600,Delivery
Green Gardenia,Yes,No,good,160,Banashankari,Casual Dining,"North Indian, Chinese",700,Delivery
J Spice,Yes,No,good,59,Banashankari,Casual Dining,"North Indian, Chinese",750,Delivery
Karavali Family Restaurant,Yes,No,bad,90,Jayanagar,Casual Dining,others,500,Delivery
Karavali Lunch Home,Yes,No,good,51,others,Quick Bites,others,350,Delivery
Hatti Kaapi,Yes,No,insane,89,Jayanagar,Quick Bites,others,200,Delivery
Kolkata Kathi Roll's,Yes,No,good,18,Banashankari,Quick Bites,"Fast Food, Rolls",250,Delivery
Upahara Darshini,Yes,No,good,40,Basavanagudi,Casual Dining,others,600,Delivery
The Chaat Shop,Yes,No,bad,35,Basavanagudi,Quick Bites,Fast Food,200,Delivery
Anda Ka Funda,Yes,No,bad,89,Jayanagar,Quick Bites,others,250,Delivery
Shri Vinayaka Ice N Juice,Yes,No,bad,11,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,Delivery
My Tea House,Yes,No,good,62,Banashankari,others,others,600,Delivery
Ibaco,Yes,No,good,33,Jayanagar,Dessert Parlor,Desserts,300,Delivery
Jalaram Sweets,Yes,No,good,32,Jayanagar,others,others,250,Delivery
Samskruti - Sanman Gardenia,Yes,No,insane,139,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery
Bendakaluru Bytes,Yes,No,bad,154,others,Quick Bites,Fast Food,300,Delivery
Cocoa Bakes,Yes,No,good,14,Banashankari,Bakery,"Bakery, Desserts",350,Delivery
Chumma Delicious,Yes,No,good,237,Banashankari,Quick Bites,"South Indian, Fast Food",200,Delivery
New Prashanth Hotel,Yes,No,good,388,Banashankari,Casual Dining,others,650,Delivery
SSV Upahar,Yes,No,good,0,Jayanagar,Quick Bites,"South Indian, Chinese",300,Delivery
Dwaraka Grand,Yes,No,good,128,others,Casual Dining,others,500,Delivery
Gufha - The President Hotel,Yes,Yes,insane,1875,Jayanagar,Casual Dining,others,1200,Delivery
Cafe Vivacity,Yes,No,good,90,Banashankari,Cafe,Cafe,650,Delivery
Tanna's Kitchen,Yes,No,bad,7,others,Quick Bites,others,250,Delivery
Shree Mandarathi Grand,Yes,No,good,38,others,Casual Dining,"South Indian, North Indian",400,Delivery
Mojo Pizza - 2X Toppings,Yes,No,insane,179,Banashankari,Delivery,Pizza,600,Delivery
Iceberg Icecreams,Yes,No,insane,43,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,Delivery
South Kitchen,Yes,No,insane,275,Basavanagudi,Quick Bites,South Indian,100,Delivery
Chung Wah,Yes,No,good,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,Delivery
Shanthi Sagar,Yes,No,bad,28,others,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery
Millet Mama,Yes,No,good,18,Basavanagudi,Quick Bites,others,200,Delivery
Bangarpet Chat Express,Yes,No,bad,6,Basavanagudi,Quick Bites,others,100,Delivery
South Cool Point,Yes,No,good,0,Basavanagudi,Dessert Parlor,Beverages,100,Delivery
Prems Graama Bhojanam,Yes,No,insane,322,Jayanagar,Casual Dining,South Indian,400,Delivery
Java City,Yes,No,bad,157,Jayanagar,Cafe,others,450,Delivery
Kamat Bugle Rock,Yes,No,good,543,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,Delivery
Woodee Pizza,Yes,No,good,180,Banashankari,Cafe,others,500,Delivery
Puliyogare Point,Yes,No,insane,444,Basavanagudi,Quick Bites,South Indian,100,Delivery
Bangalore Agarwal Bhavan,Yes,No,good,134,Jayanagar,Quick Bites,others,400,Delivery
Rustic Stove,Yes,No,good,577,Jayanagar,Casual Dining,others,900,Delivery
Udupi Ruchi Grand,Yes,No,insane,60,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery
De Thaali,Yes,No,good,144,Jayanagar,Casual Dining,others,550,Delivery
Spice Elephant,Yes,No,insane,787,Banashankari,Casual Dining,others,800,Delivery
Just Thindi,Yes,No,good,16,Basavanagudi,Quick Bites,South Indian,200,Delivery
Matru Sagar,Yes,No,good,84,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery
Vasanth Vihar - Since 1965,Yes,No,good,95,Banashankari,Quick Bites,others,150,Delivery
Sea Spice by 7 Star,Yes,Yes,insane,349,Banashankari,Casual Dining,others,1200,Delivery
Desi Dawat,Yes,No,good,248,others,Quick Bites,"North Indian, Fast Food",400,Delivery
Cafe Aira,Yes,No,insane,216,Basavanagudi,Cafe,others,500,Delivery
Donne Biriyani combos,Yes,No,good,0,others,Casual Dining,Biryani,400,Delivery
Penthouse Cafe,Yes,No,insane,324,Banashankari,Cafe,others,700,Delivery
Mast Punjabi,Yes,No,bad,231,others,Quick Bites,others,400,Delivery
